timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2018-03-19T00:00:00+00:00,GBPUSD,BUY,1.39,7170.697443,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-04-27T00:00:00+00:00,GBPUSD,SELL,1.39,7170.697443,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-21.33
2018-06-15T00:00:00+00:00,GBPUSD,BUY,1.33,7542.219256,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-06-20T00:00:00+00:00,GBPUSD,SELL,1.32,7542.219256,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-66.95
2018-07-13T00:00:00+00:00,GBPUSD,BUY,1.32,7585.810202,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-07-20T00:00:00+00:00,GBPUSD,SELL,1.30,7585.810202,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-123.52
2018-08-30T00:00:00+00:00,GBPUSD,BUY,1.30,7669.891828,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-10-05T00:00:00+00:00,GBPUSD,SELL,1.30,7669.891828,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-13.13
2018-10-17T00:00:00+00:00,GBPUSD,BUY,1.32,7581.910626,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-10-25T00:00:00+00:00,GBPUSD,SELL,1.29,7581.910626,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-230.77
2018-11-13T00:00:00+00:00,GBPUSD,BUY,1.29,7776.06861,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-11-21T00:00:00+00:00,GBPUSD,SELL,1.28,7776.06861,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-57.61
2018-12-31T00:00:00+00:00,GBPUSD,BUY,1.27,7876.747075,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-02-12T00:00:00+00:00,GBPUSD,SELL,1.29,7876.747075,Death cross: fast SMA crossed below slow SMA,raw,WIN,130.08
2019-02-27T00:00:00+00:00,GBPUSD,BUY,1.33,7541.419076,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-04-01T00:00:00+00:00,GBPUSD,SELL,1.30,7541.419076,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-181.45
2019-05-09T00:00:00+00:00,GBPUSD,BUY,1.30,7683.988785,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-05-17T00:00:00+00:00,GBPUSD,SELL,1.28,7683.988785,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-168.81
2019-06-17T00:00:00+00:00,GBPUSD,BUY,1.26,7937.733784,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-06-18T00:00:00+00:00,GBPUSD,SELL,1.25,7937.733784,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-47.44
2019-07-01T00:00:00+00:00,GBPUSD,BUY,1.27,7876.147235,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-07-05T00:00:00+00:00,GBPUSD,SELL,1.26,7876.147235,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-91.98
2019-08-27T00:00:00+00:00,GBPUSD,BUY,1.22,8180.680146,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-10-03T00:00:00+00:00,GBPUSD,SELL,1.23,8180.680146,Death cross: fast SMA crossed below slow SMA,raw,WIN,63.18
2019-10-16T00:00:00+00:00,GBPUSD,BUY,1.28,7835.356176,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-11-13T00:00:00+00:00,GBPUSD,SELL,1.29,7835.356176,Death cross: fast SMA crossed below slow SMA,raw,WIN,67.52
2019-11-21T00:00:00+00:00,GBPUSD,BUY,1.29,7734.47802,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-12-26T00:00:00+00:00,GBPUSD,SELL,1.30,7734.47802,Death cross: fast SMA crossed below slow SMA,raw,WIN,31.77
2020-01-08T00:00:00+00:00,GBPUSD,BUY,1.31,7624.401848,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-01-20T00:00:00+00:00,GBPUSD,SELL,1.30,7624.401848,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-85.28
2020-02-03T00:00:00+00:00,GBPUSD,BUY,1.32,7585.109807,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-02-06T00:00:00+00:00,GBPUSD,SELL,1.30,7585.109807,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-144.07
2020-04-07T00:00:00+00:00,GBPUSD,BUY,1.22,8168.282504,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-04-29T00:00:00+00:00,GBPUSD,SELL,1.24,8168.282504,Death cross: fast SMA crossed below slow SMA,raw,WIN,155.15
2020-06-03T00:00:00+00:00,GBPUSD,BUY,1.26,7946.931415,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-06-24T00:00:00+00:00,GBPUSD,SELL,1.25,7946.931415,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-49.14
2020-07-13T00:00:00+00:00,GBPUSD,BUY,1.26,7917.957916,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-09-14T00:00:00+00:00,GBPUSD,SELL,1.28,7917.957916,Death cross: fast SMA crossed below slow SMA,raw,WIN,137.56
2020-10-07T00:00:00+00:00,GBPUSD,BUY,1.29,7760.771753,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-03-10T00:00:00+00:00,GBPUSD,SELL,1.39,7760.771753,Death cross: fast SMA crossed below slow SMA,raw,WIN,777.35
2021-04-21T00:00:00+00:00,GBPUSD,BUY,1.39,7173.096389,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-06-14T00:00:00+00:00,GBPUSD,SELL,1.41,7173.096389,Death cross: fast SMA crossed below slow SMA,raw,WIN,125.36
2021-08-02T00:00:00+00:00,GBPUSD,BUY,1.39,7195.092006,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-08-19T00:00:00+00:00,GBPUSD,SELL,1.37,7195.092006,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-113.72
2021-09-07T00:00:00+00:00,GBPUSD,BUY,1.38,7224.586219,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-09-23T00:00:00+00:00,GBPUSD,SELL,1.36,7224.586219,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-164.72
2021-10-18T00:00:00+00:00,GBPUSD,BUY,1.38,7265.477407,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2021-11-05T00:00:00+00:00,GBPUSD,SELL,1.35,7265.477407,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-187.87
2021-12-24T00:00:00+00:00,GBPUSD,BUY,1.34,7457.8366,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-01-28T00:00:00+00:00,GBPUSD,SELL,1.34,7457.8366,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-17.77
2022-02-14T00:00:00+00:00,GBPUSD,BUY,1.36,7368.256,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-03-01T00:00:00+00:00,GBPUSD,SELL,1.34,7368.256,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-112.26
2022-03-31T00:00:00+00:00,GBPUSD,BUY,1.31,7609.804398,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-04-06T00:00:00+00:00,GBPUSD,SELL,1.31,7609.804398,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-50.94
2022-05-26T00:00:00+00:00,GBPUSD,BUY,1.26,7944.002106,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-06-14T00:00:00+00:00,GBPUSD,SELL,1.21,7944.002106,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-354.74
2022-07-28T00:00:00+00:00,GBPUSD,BUY,1.22,8220.271264,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-08-19T00:00:00+00:00,GBPUSD,SELL,1.19,8220.271264,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-193.55
2022-10-13T00:00:00+00:00,GBPUSD,BUY,1.11,9002.991257,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2022-12-27T00:00:00+00:00,GBPUSD,SELL,1.21,9002.991257,Death cross: fast SMA crossed below slow SMA,raw,WIN,876.55
2023-01-16T00:00:00+00:00,GBPUSD,BUY,1.22,8177.480342,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-02-08T00:00:00+00:00,GBPUSD,SELL,1.21,8177.480342,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-144.98
2023-03-17T00:00:00+00:00,GBPUSD,BUY,1.21,8255.963523,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-05-22T00:00:00+00:00,GBPUSD,SELL,1.25,8255.963523,Death cross: fast SMA crossed below slow SMA,raw,WIN,285.14
2023-06-09T00:00:00+00:00,GBPUSD,BUY,1.26,7960.828341,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-07-07T00:00:00+00:00,GBPUSD,SELL,1.27,7960.828341,Death cross: fast SMA crossed below slow SMA,raw,WIN,141.67
2023-07-10T00:00:00+00:00,GBPUSD,BUY,1.28,7787.566604,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-08-01T00:00:00+00:00,GBPUSD,SELL,1.28,7787.566604,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-8.02
2023-10-18T00:00:00+00:00,GBPUSD,BUY,1.22,8209.673426,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-10-25T00:00:00+00:00,GBPUSD,SELL,1.22,8209.673426,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-18.09
2023-11-08T00:00:00+00:00,GBPUSD,BUY,1.23,8134.189854,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-01-23T00:00:00+00:00,GBPUSD,SELL,1.27,8134.189854,Death cross: fast SMA crossed below slow SMA,raw,WIN,333.43
2024-01-31T00:00:00+00:00,GBPUSD,BUY,1.27,7875.546748,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-02-01T00:00:00+00:00,GBPUSD,SELL,1.27,7875.546748,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-17.62
2024-02-28T00:00:00+00:00,GBPUSD,BUY,1.27,7884.145699,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-03-26T00:00:00+00:00,GBPUSD,SELL,1.26,7884.145699,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-38.67
2024-05-06T00:00:00+00:00,GBPUSD,BUY,1.25,7972.525735,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-06-19T00:00:00+00:00,GBPUSD,SELL,1.27,7972.525735,Death cross: fast SMA crossed below slow SMA,raw,WIN,128.43
2024-07-10T00:00:00+00:00,GBPUSD,BUY,1.28,7818.759703,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-08-02T00:00:00+00:00,GBPUSD,SELL,1.27,7818.759703,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-50.11
2024-08-21T00:00:00+00:00,GBPUSD,BUY,1.30,7670.191314,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-09-16T00:00:00+00:00,GBPUSD,SELL,1.31,7670.191314,Death cross: fast SMA crossed below slow SMA,raw,WIN,74.51
2024-09-23T00:00:00+00:00,GBPUSD,BUY,1.33,7509.72599,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-10-10T00:00:00+00:00,GBPUSD,SELL,1.31,7509.72599,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-188.59
2024-12-10T00:00:00+00:00,GBPUSD,BUY,1.28,7842.454294,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-12-23T00:00:00+00:00,GBPUSD,SELL,1.26,7842.454294,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-144.66
